Canada,Chile,Mexico,Chinese Taipei,Hong Kong SAR,Japan,Korea (ROK),"Macao, China",Maldives,Cambodia,Indonesia,Singapore,New Zealand,USA,Thailand,Turkey,Australia,Hawaii,Austria,Czech
3449.6950000000024,61.805,3455.1350000000007,843.91,80054.03499999997,11630.875000000002,39541.33,689613.6399999999,829.15,9459.260000000002,4341.939999999999,28028.585,2622.2999999999997,87436.87000000002,4599.85,8525.569999999998,8687.049999999996,931.2099999999997,4665.8099999999995,4630.049999999999
3460.595000000002,36.96,2579.6100000000006,1155.7100000000003,79475.20999999998,11085.960000000003,39552.91500000001,825441.4199999997,726.6,10022.550000000005,4807.869999999997,27595.6,2933.6650000000004,40136.34,4457.210000000001,8818.490000000002,7530.199999999997,916.1499999999997,4590.209999999999,4386.65
9863.695000000002,59.29,3055.9349999999995,898.1,80585.135,12833.145000000008,37023.51999999999,842536.9749999999,727.7,16484.179999999997,4873.7649999999985,28917.054999999997,3037.455000000001,30972.399999999987,4681.975000000001,8921.82,6393.349999999998,754.5200000000001,4895.66,4553.6
5842.390000000001,106.685,3923.89,851.1999999999999,80543.73999999999,13212.410000000005,37302.60499999999,696435.4099999998,713.3499999999999,16457.835,4843.234999999999,29181.934999999998,3172.350000000001,27210.21499999999,4784.7350000000015,7826.970000000002,8981.299999999996,1024.4599999999996,4802.98,4541.549999999999
10447.185000000001,235.17,8939.82,851.9,80701.905,32332.925000000003,39040.67,697568.0449999998,2486.1499999999996,18518.215,8495.984999999999,31569.334999999995,3310.61,55880.96499999997,11315.990000000003,6990.880000000001,10824.649999999996,1620.4599999999996,4677.689999999998,4555.049999999999
11095.034999999998,100.87499999999997,3951.3899999999994,828.01,178251.64499999987,37797.67999999998,61911.99999999997,965439.2399999998,7990.6500000000015,26829.39499999999,8818.689999999997,34911.07000000001,3600.4500000000003,75584.78,21761.959999999977,8420.760000000002,11615.999999999998,1281.2599999999998,5279.720000000002,4686.75
10140.704999999998,104.08500000000001,5828.709999999999,740.1200000000001,79562.47999999995,37604.06500000002,38561.79999999999,947537.9099999996,7412.299999999999,29350.82,7764.209999999997,32199.099999999995,3782.2850000000008,37167.41,18225.98,8799.600000000002,10368.599999999997,1114.1599999999999,4419.870000000001,5277.349999999999
12971.430000000011,118.85,4634.705,1198.6699999999998,1000062.2350000002,73119.49500000002,76345.97999999998,994769.96,6757.85,27298.134999999995,14093.05,46452.510000000024,7294.090000000001,69859.59499999997,21620.034999999996,5977.550000000001,14268.8,1805.44,17554.579999999998,10445.5
12674.645000000008,70.26000000000002,3219.1150000000002,894.3,989228.2449999999,81015.50500000002,79150.88999999996,1062442.3599999999,7681.900000000001,25333.039999999997,13876.415,48337.97499999998,7240.779999999997,68862.23999999999,25035.044999999987,7841.540000000002,12890.55,1877.1299999999997,18664.369999999995,10689.849999999999
12466.655000000006,69.715,2427.3599999999997,857.6899999999999,989955.0249999999,73094.18000000002,79211.45999999996,1073309.35,7953.250000000001,24991.96,10104.695,50339.375,7689.2249999999985,75564.38500000002,38701.09499999996,7823.190000000002,13280.499999999998,2001.8599999999997,19318.940000000002,10722.9
13227.335000000003,66.915,2169.545,789.3999999999999,960091.9299999998,75107.655,78130.99999999996,929731.285,8133.450000000001,24917.914999999997,11929.48,62393.09999999998,7760.134999999998,77296.21,51567.08999999997,8822.810000000001,13133.399999999998,1938.1499999999996,19162.48,12377.95
14260.340000000006,89.95500000000001,4196.030000000001,961.8800000000001,1034328.7399999998,83535.3,78460.53999999998,907959.6749999998,8953.15,24793.305,14791.610000000002,78969.66999999998,8495.060000000001,81521.875,57744.71499999998,9147.109999999997,14551.699999999997,1861.17,22143.89,14523.45
