Canada,Chile,Mexico,Chinese.Taipei,Hong.Kong.SAR,Japan,Korea..ROK.,Macao..China,Maldives,Cambodia,Indonesia,Singapore,New.Zealand,USA,Thailand,Turkey,Australia,Hawaii,Austria,Czech
96183.10963,1742.015086,12762.01023,158871.9055,2620840.414,672089.695,554446.8423,2469726.409,17601.37744,183943.4526,173960.157,282765.4015,20580.23894,313684.0243,582844.2379,33613.94274,87014.77041,5389.998851,123685.7667,105713.2297
81694.65327,1722.488695,12592.063,141945.6917,2288638.388,620168.5961,502806.4966,2159259.452,15800.87021,174129.3354,175755.9498,197554.6629,20247.95742,231130.1478,531694.6618,37385.5052,77146.86366,6252.096018,106943.3199,87089.69757
61397.46421,2094.975775,13078.74045,155869.7766,2622529.651,643024.0153,493112.4235,2433598.636,16065.01641,186833.3268,178025.7733,219769.4781,21434.47808,173114.4645,527276.8023,34962.77162,84923.07405,5471.804912,107563.3244,85447.52216
41508.61893,2420.996479,16485.995,155660.984,2641361.987,559882.4609,405111.9321,2526313.437,12486.36186,183659.895,165180.4087,225188.5484,31295.31854,154632.2983,532659.0251,30295.37788,105978.2354,5295.860612,67874.53257,48619.147
49317.08497,2557.180918,22129.62107,151234.582,2980540.003,488221.266,395592.0278,2531950.256,11455.61712,202027.4437,161815.3333,237917.4834,31761.51911,171035.9306,541056.1558,28537.55442,113183.4068,5850.395959,58916.98062,47363.47749
50295.9939,2257.387355,12806.79033,148496.3977,3143714.313,668730.4433,375951.5055,2599421.603,14965.37054,199609.585,165158.0182,274287.2425,30470.91904,254952.1363,595004.6668,24380.04288,119529.6498,5394.117173,43061.83794,38214.93069
42709.76954,2310.7593,12998.50096,170909.5992,2893374.067,525988.4525,449479.5093,2281162.316,16509.21115,242814.1613,186853.6851,256172.4538,34861.02794,152731.7038,605859.9317,27269.76716,144815.4329,5123.798778,51497.79546,40435.03989
37866.68319,2361.360501,18908.73201,172431.073,2921006.011,626594.2981,408491.0669,2293672.206,11507.90646,229902.228,164810.8553,228391.6135,25279.60145,155318.0713,571183.2815,27534.62572,103357.5703,4153.905371,54368.12662,42533.07887
39284.12989,2082.597438,11641.59641,198123.5497,3030523.912,577127.4824,401946.809,2058683.393,12087.99086,168728.9434,158343.2529,203773.3406,23446.25496,142823.647,565725.7196,27439.684,81375.31398,4653.425134,66938.24236,52804.62345
51234.064,1877.323937,11680.22317,177362.0577,3081763.42,455995.3106,401599.3939,2092987.997,13608.6378,152212.5609,152913.9491,159119.8115,17673.85623,177248.8905,540879.6292,32119.93483,72292.66409,5729.103736,80834.87187,71276.63682
67988.41526,1634.87558,11349.83536,151632.4457,3000602.682,450281.1217,391723.5306,1837593.313,14043.77658,145605.6532,167918.02,163977.9185,13363.53127,182716.9035,531849.7644,29569.57101,66924.38273,5425.031271,91319.90844,86046.72143
91761.56594,1618.859334,12870.47774,174014.0087,3405108.689,650810.4316,458931.1697,1928378.037,17717.64066,175181.528,179605.1417,266448.0763,19096.56609,247470.8213,576635.9798,33598.74902,97591.4177,5573.227868,122457.4519,109274.1561
