Canada,Chile,Mexico,Chinese.Taipei,Hong.Kong.SAR,Japan,Korea..ROK.,Macao..China,Maldives,Cambodia,Indonesia,Singapore,New.Zealand,USA,Thailand,Turkey,Australia,Hawaii,Austria,Czech
65017.99658,1292.985354,8863.035821,117922.1447,2253756.02,300974.5174,365267.5706,1617399.345,12609.10047,118375.286,73644.00705,143130.4783,10134.16264,177294.6338,491095.779,19583.02254,45169.30492,2323.297777,67848.56768,61313.25101
44840.4134,1103.89998,7602.92346,91370.81996,1868886.694,164816.8489,258869.325,1201799.452,10253.03544,92408.95803,30161.86762,72022.44469,7105.249493,93729.40064,407575.4555,19526.50584,28717.55675,2137.300455,44183.38607,35608.90829
27407.01787,1343.979942,6892.5365,97135.03699,2143472.641,68273.79174,197456.6089,1146952.832,10015.08635,81895.96763,-9436.522547,52832.85279,4641.079435,45795.90639,377629.1976,16402.58127,20813.332,1420.918959,31965.33689,22353.29103
14769.52597,1557.356565,7564.141232,89664.18999,2097916.551,-20194.48355,121621.4311,992279.1359,5974.308147,65213.74524,-48942.77147,28836.95841,2685.83969,21902.3429,361207.4052,12720.114,13004.40203,952.7225009,12732.22952,6536.349316
13355.92781,1593.694632,8770.137515,78601.89751,2369169.347,-91999.84357,81342.11007,824402.4408,4512.931778,55645.63967,-86654.87031,5563.714934,-878.58638,2981.642417,350239.2596,10620.46785,1300.133653,596.4299395,4840.038968,630.7411603
9549.61009,1203.217373,4320.584862,69699.12367,2462127.995,-220328.1714,43958.46562,667343.7732,7617.753168,39006.13254,-130030.6084,-24054.91266,-4080.249449,-21975.83519,386580.803,7912.45489,-12757.74648,127.6104377,-869.7127532,-3923.271059
4809.494521,1172.884717,3658.41267,86320.87806,2140218.039,-250987.328,11932.73846,436379.2363,8778.178748,29815.72212,-191136.9803,-50084.77343,-9928.895525,-31948.65116,381175.3282,7752.828401,-31215.90085,-218.2939347,-6091.973428,-8970.090894
1333.903183,1145.326285,4280.676748,82357.13912,2095614.063,-381174.0506,-22495.58034,287455.2545,3411.831541,11110.2674,-214636.2982,-67446.93403,-9810.181115,-50557.50412,331312.1324,6640.887466,-33685.23744,-538.2223002,-11340.72712,-15241.15315
-1498.886571,792.946289,2034.749634,102822.5369,2132732.991,-443391.4601,-58169.7792,128450.5012,3642.807479,-3650.916183,-254757.4705,-80988.23834,-11806.02511,-63535.30718,311551.4553,5535.630434,-35384.09088,-937.0612378,-20468.7139,-25396.39373
-5654.528187,517.8652034,1441.84996,77056.08211,2111779.214,-423699.2947,-94941.00608,-1024.131737,4828.342033,-14349.60852,-301201.7204,-87779.10276,-10773.88539,-100903.5274,273145.7693,5169.807735,-38990.86821,-1562.074111,-31773.75971,-43537.75734
-12523.40306,208.8627213,855.8697282,46515.77141,1958901.682,-486352.1884,-126459.7087,-105500.0845,4940.79294,-23675.88459,-386409.8003,-106725.5997,-10377.67453,-126477.5568,251193.5893,3551.69288,-44212.19504,-1840.369466,-44644.79912,-63084.76032
-23709.33087,129.0947238,327.4439272,64258.18151,2292364.753,-807136.4131,-186441.1601,-217231.9485,8302.97088,-40168.65952,-478384.0028,-201359.7482,-16987.02098,-205092.9384,283609.3497,2681.579989,-75097.18455,-2255.587877,-71891.82488,-94181.31308
