Canada,Chile,Mexico,Chinese.Taipei,Hong.Kong.SAR,Japan,Korea..ROK.,Macao..China,Maldives,Cambodia,Indonesia,Singapore,New.Zealand,USA,Thailand,Turkey,Australia,Hawaii,Austria,Czech
127348.2227,2191.044818,16660.98463,199821.6663,2987924.809,1043204.873,743626.1139,3322053.474,22593.65441,249511.6191,274276.307,422400.3247,31026.31524,450073.4148,674592.6967,47644.86293,128860.2359,8456.699925,179522.9657,150113.2085
118548.8932,2341.07741,17581.20254,192520.5634,2708390.081,1075520.343,746743.6681,3116719.451,21348.70497,255849.7128,321350.0319,323086.8811,33390.66535,368530.8949,655813.868,55244.50457,125576.1706,10366.89158,169703.2536,138570.4868
95387.91054,2845.971609,19264.9444,214604.5162,3101586.662,1217774.239,788768.2381,3720244.44,22114.94647,291770.686,365488.0691,386706.1034,38227.87672,300433.0226,676924.407,53522.96197,149032.8161,9522.690865,183161.3118,148541.7533
68247.71188,3284.636392,25407.84876,221657.7781,3184807.423,1139959.405,688602.4331,4060347.738,18998.41557,302106.0448,379303.5889,421540.1385,59904.79738,287362.2537,704110.6451,47870.64176,198952.0688,9638.998723,123016.8356,90701.94469
85278.24212,3520.667205,35489.10463,223867.2666,3591910.658,1068442.376,709841.9456,4239498.071,18398.30245,348409.2477,410285.5368,470271.252,64401.62461,339090.2187,731873.0519,46454.64099,225066.68,11104.36198,112993.9223,94096.21382
91042.37771,3311.557336,21292.9958,227293.6717,3825300.631,1557789.058,707944.5453,4531499.432,22312.98792,360213.0374,460346.6447,572629.3977,65022.08753,531880.1078,803428.5307,40847.63088,251817.0462,10660.62391,86993.38864,80353.13244
80610.04456,3448.633884,22338.58925,255498.3204,3646530.095,1302964.233,887026.2801,4125945.396,24240.24354,455812.6006,564844.3505,562429.681,79650.9514,337412.0588,830544.5352,46786.70592,320846.7666,10465.89149,109087.5643,89840.17068
74399.46321,3577.394718,33536.78727,262505.0068,3746397.96,1634362.647,839477.7141,4299889.157,19603.98139,448694.1885,544258.0087,524230.1611,60369.38402,361193.6468,811054.4305,48428.36398,240400.3781,8846.033043,120076.9804,100307.3109
80067.14635,3372.248587,21248.44318,293424.5625,3928314.834,1597646.425,862063.3971,3988916.285,20533.17423,341108.803,571443.9764,488534.9195,58698.53504,349182.6012,819899.9839,49343.73757,198134.7188,10243.91151,154345.1986,131005.6406
108122.6562,3236.78267,21918.59637,277668.0333,4051747.625,1335689.916,898139.794,4187000.126,22388.93356,318774.7302,607029.6186,406018.7257,46121.59785,455401.3085,808613.4891,59070.06192,183576.1964,13020.28158,193443.5035,186091.031
148500.2336,3060.888438,21843.80099,256749.12,4042303.682,1386914.432,909906.7699,3780686.71,23146.76023,314887.1909,722245.8403,434681.4367,37104.73708,491911.3638,812505.9394,55587.44913,178060.9605,12690.43201,227284.616,235178.2032
207232.4627,3108.623945,25413.51156,283769.8359,4517852.625,2108757.276,1104303.499,4073988.022,27132.31044,390531.7156,837594.2862,734255.9009,55180.15316,700034.581,869662.61,64515.91805,270280.0199,13402.04361,316806.7288,312729.6253
